mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Tellurite,Paratellurite,0.338235294118,Goldfieldite,0.308641975309,Emmonsite,0.290322580645,Rickardite,0.288888888889,Mackayite,0.25,Tellurium,0.225806451613,Stutzite,0.21978021978,Sonoraite,0.2125,Kostovite,0.209677419355,Melonite,0.20325203252
Tellurium,Coloradoite,0.295154185022,Melonite,0.261083743842,Altaite,0.24,Tellurite,0.225806451613,Sylvanite,0.225287356322,Calaverite,0.220930232558,Stutzite,0.216666666667,Krennerite,0.208333333333,Rickardite,0.204301075269,Petzite,0.198581560284
Tellurobismuthite,Volynskite,0.186274509804,Tellurite,0.185185185185,Tellurium,0.180616740088,Paratellurite,0.169642857143,Goldfieldite,0.168,Melonite,0.153374233129,Krennerite,0.14880952381,Stutzite,0.143939393939,Langite,0.141304347826,Rickardite,0.138686131387
Telluropalladinite,Arsenopalladinite,1.0,Atokite,0.666666666667,Menshikovite,0.666666666667,Palladoarsenide,0.666666666667,Plumbopalladinite,0.666666666667,Keithconnite,0.615384615385,Tulameenite,0.555555555556,Zvyagintsevite,0.533333333333,Kojonenite,0.5,Palladobismutharsenide,0.5
Telluroperite,Thorneite,0.888888888889,Eckhardite,0.888888888889,Markcooperite,0.777777777778,Paratimroseite,0.777777777778,Mojaveite,0.75,Andychristyite,0.666666666667,Agaite,0.666666666667,Eztlite,0.666666666667,Bairdite,0.666666666667,Chromschieffelinite,0.666666666667
Temagamite,Kotulskite,0.527777777778,Stibiopalladinite,0.44,Michenerite,0.384615384615,Sopcheite,0.368421052632,Zvyagintsevite,0.363636363636,Palarstanide,0.333333333333,Rustenburgite,0.315789473684,Telargpalite,0.315789473684,Palladobismutharsenide,0.315789473684,Merenskyite,0.307692307692
Tengerite-(Y),Rowlandite-(Y),0.363636363636,Afwillite,0.357142857143,Xenotime-(Yb),0.333333333333,Behoite,0.266666666667,Yttrialite-(Y),0.25,Yttrocrasite-(Y),0.235294117647,Bazzite,0.217391304348,Uranopolycrase,0.214285714286,Farringtonite,0.2,Akimotoite,0.2
Tennantite,Enargite,0.198820556024,Digenite,0.177598385469,Covellite,0.16208453016,Rhodochrosite,0.144687666845,Proustite,0.143103448276,Polybasite,0.137432188065,Pearceite,0.134345794393,Freibergite,0.1328125,Pyrargyrite,0.128988458927,Chalcanthite,0.128503075871
Tenorite,Cuprite,0.247181628392,Chrysocolla,0.192567567568,Brochantite,0.186462324393,Chalcanthite,0.167288557214,Azurite,0.165665665666,Copper,0.162196276428,Covellite,0.150056412185,Chalcocite,0.147285015148,Aurichalcite,0.144302090357,Jarosite,0.131265930331
Tephroite,Alleghanyite,0.464285714286,Sonolite,0.272727272727,Jacobsite,0.267605633803,Caryopilite,0.24347826087,Kutnohorite,0.205555555556,Bustamite,0.19512195122,Pyroxmangite,0.194630872483,Pyrophanite,0.165680473373,Bementite,0.16393442623,Hausmannite,0.161048689139
Terlinguacreekite,Kleinite,0.9,Pinchite,0.5,Radtkeite,0.5,Kenhsuite,0.5,Comancheite,0.454545454545,Chapmanite,0.384615384615,Gianellaite,0.3125,Corderoite,0.310344827586,Terlinguaite,0.277777777778,Mosesite,0.260869565217
Terlinguaite,Eglestonite,0.615384615385,Edgarbaileyite,0.4,Mosesite,0.375,Montroydite,0.354430379747,Wattersite,0.333333333333,Gianellaite,0.305555555556,Terlinguacreekite,0.277777777778,Kleinite,0.25,Calomel,0.25,Donharrisite,0.194444444444
Tetra-auricupride,Delrioite,0.5,Metadelrioite,0.5,Novakite,0.375,Bluestreakite,0.375,Munirite,0.375,Orthominasragrite,0.285714285714,Hendersonite,0.277777777778,Proto-ferro-anthophyllite,0.25,Koutekite,0.25,Kolwezite,0.25
Tetradymite,Tellurium,0.155210643016,Sylvanite,0.137876386688,Petzite,0.130718954248,Hessite,0.124809741248,Altaite,0.124282982792,Bismuthinite,0.121071012806,Bismuth,0.116373477673,Tellurobismuthite,0.115763546798,Calaverite,0.1,Freibergite,0.0996978851964
Tetraferriannite,Yofortierite,1.0,Labuntsovite-Fe,1.0,Lenoblite,0.8,Paraumbite,0.8,Lourenswalsite,0.666666666667,Seidite-(Ce),0.666666666667,Delindeite,0.666666666667,Labuntsovite-Mn,0.666666666667,Nenadkevichite,0.625,Kimzeyite,0.625
