mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Koutekite,Paxite,0.7453559925,Novakite,0.7453559925,Sainfeldite,0.7453559925,Kamiokite,0.629940788349,Algodonite,0.53033008589,Rauenthalite,0.50251890763,Vladimirite,0.50251890763,Aluminoceladonite,0.5,Bluestreakite,0.4472135955,Macfallite,0.4472135955
Kraisslite,Canavesite,1.0,Parabrandtite,1.0,Brandtite,1.0,Lawsonbauerite,1.0,Gerstmannite,1.0,Ojuelaite,1.0,Ogdensburgite,1.0,Niahite,1.0,Torreyite,1.0,Akrochordite,1.0
Krasnoite,Perhamite,0.707106781187,Hentschelite,0.679366220487,Fluorowardite,0.679366220487,Zinclipscombite,0.679366220487,Cechite,0.679366220487,Schachnerite,0.679366220487,Ferribushmakinite,0.679366220487,Iangreyite,0.679366220487,Meurigite-Na,0.679366220487,Crimsonite,0.679366220487
Krausite,Quenstedtite,0.622799155329,Goldichite,0.585540043769,Freboldite,0.461880215352,Minasragrite,0.461880215352,Parabutlerite,0.426006433615,Strelkinite,0.421637021356,Yingjiangite,0.421637021356,Meta-aluminite,0.421637021356,Fibroferrite,0.390360029179,Bergenite,0.387298334621
Krauskopfite,Macdonaldite,0.917662935482,Esquireite,0.901387818866,Sanbornite,0.894427191,Walstromite,0.894427191,Alforsite,0.875,Bigcreekite,0.839146391678,Gillespite,0.763762615826,Fencooperite,0.76271276981,Devitoite,0.76271276981,Titantaramellite,0.742781352708
Kremersite,Huizingite-(Al),1.0,Adranosite-(Fe),1.0,Ammoniomagnesiovoltaite,1.0,Pyracmonite,1.0,Sabieite,1.0,Clairite,1.0,Carlsonite,1.0,Lonecreekite,0.845154254729,Boussingaultite,0.46625240412,Panethite,0.4472135955
Krennerite,Stutzite,0.508207982181,Calaverite,0.437656172599,Coloradoite,0.406467596681,Petzite,0.39986834513,Altaite,0.399095293515,Tellurium,0.360011520553,Paratellurite,0.353859842407,Sylvanite,0.352797460335,Empressite,0.339254459384,Tellurite,0.334674720376
Krinovite,Roedderite,1.0,Kosmochlor,0.790569415042,Roaldite,0.790569415042,Lonsdaleite,0.625,Barringerite,0.625,Lautite,0.612372435696,Nickelboussingaultite,0.534522483825,Wupatkiite,0.534522483825,Moissanite,0.533001790889,Flagstaffite,0.53033008589
Krohnkite,Plasilite,0.57735026919,Lishizhenite,0.57735026919,Fermiite,0.57735026919,Theresemagnanite,0.57735026919,Wetherillite,0.57735026919,Aluminocoquimbite,0.57735026919,Deliensite,0.57735026919,Boyleite,0.57735026919,Bobcookite,0.57735026919,Bluelizardite,0.57735026919
Krupkaite,Friedrichite,0.536924844171,Heyrovskyite,0.458333333333,Junoite,0.452910813658,Pauladamsite,0.416666666667,Cupropavonite,0.409945795875,Suanite,0.387298334621,Buckhornite,0.387298334621,Lindstromite,0.381881307913,Eskimoite,0.375,Tungstenite,0.369274472938
