mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Cookeite,Aguilarite,0.00996023841112,Hauerite,0.0126836572358,Norbergite,0.0128586124968,Novacekite-I,0.0136386181397,Sussexite,0.0143267063765,Fluor-uvite,0.0143267063765,Diaphorite,0.014580296088,Fluoro-edenite,0.014580296088,Gold,0.0159748828271,Meta-ankoleite,0.0172516389836
Cooperite,Babingtonite,0.0121482382687,Spangolite,0.0158910431541,Quartz,0.0161439536073,Tyrolite,0.0169613382888,Muscovite,0.0172592505608,Chlorargyrite,0.0182123079279,Fluorite,0.0183653582946,Minnesotaite,0.0193022859121,Aguilarite,0.019462473604,Domeykite,0.0199680765958
Copiapite,Hendricksite,0.0143222974808,Isomertieite,0.01490711985,Chlorophoenicite,0.0155699788832,Froodite,0.0155699788832,Potassic-fluoro-richterite,0.0155699788832,Hodgkinsonite,0.0155699788832,Petedunnite,0.0155699788832,Johnbaumite,0.0163299316186,Yeatmanite,0.0163299316186,Hauerite,0.0169790543991
Copper,Hauerite,0.0063607877891,Heklaite,0.00731194225718,Faujasite-Na,0.00789780029508,Willhendersonite,0.00789780029508,Ammoniomagnesiovoltaite,0.00865160675257,Huizingite-(Al),0.00865160675257,Clairite,0.00865160675257,Kremersite,0.00865160675257,Sabieite,0.00865160675257,Carlsonite,0.00865160675257
Coquandite,Gold,0.0109072431442,Pyrite,0.0137215657881,Quartz,0.0138056946429,Chalcopyrite,0.0167472473137,Galena,0.017127305619,Malachite,0.0180841879727,Magnetite,0.0181522137095,Hematite,0.0185855627666,Baryte,0.0196646282059,Calcite,0.0201769886222
Coquimbite,Minnesotaite,0.0105964075791,Whitmoreite,0.0129250324984,Pennantite,0.0129250324984,Childrenite,0.0134255403385,Greenalite,0.0134255403385,Hauerite,0.0136057569974,Honessite,0.0136057569974,Norbergite,0.0137934314767,Xanthoxenite,0.0139890927598,Moraesite,0.0141933238951
Corderoite,Babingtonite,0.0152286225968,Minnesotaite,0.0241966959248,Domeykite,0.0250313087161,Wodginite,0.0254823595719,Beryl,0.0266880256342,Messelite,0.0269974623578,Magnetite,0.0273092369999,Montroseite,0.0274204248554,Schorl,0.0274445095546,Grunerite,0.0277885007188
Cordierite,Hauerite,0.0155516105547,Jamborite,0.0157661256613,Tolovkite,0.0157661256613,Zircophyllite,0.0157661256613,Kassite,0.0157661256613,Howieite,0.0159897698199,Rutheniridosmine,0.0159897698199,Hilgardite,0.0167225015523,Kimzeyite,0.0167225015523,Iridarsenite,0.0167225015523
Corkite,Minnesotaite,0.0134219119775,Wodginite,0.0141350698548,Whitmoreite,0.0163714586482,Greenalite,0.0170054255963,Hauerite,0.0172336965565,Norbergite,0.0174714139454,Xanthoxenite,0.0177192477985,Moraesite,0.0179779366324,Phosphophyllite,0.0179779366324,Ferrostrunzite,0.0191389750588
Cornetite,Gold,0.0174905000914,Chromite,0.0194620312902,Strunzite,0.0204379779828,Hydroxylherderite,0.0207123255334,Quartz,0.0209084535425,Arsenopyrite,0.0225207709142,Stilpnomelane,0.0230021853114,Galena,0.0238028178458,Muscovite,0.0249826569525,Calcite,0.0251651261737
Cornubite,Minnesotaite,0.016393442623,Wodginite,0.0172644893682,Whitmoreite,0.0199960011996,Greenalite,0.0207703246199,Hauerite,0.0210491333987,Norbergite,0.0213394799888,Xanthoxenite,0.0216421827675,Phosphophyllite,0.0219581437546,Moraesite,0.0219581437546,Ferrostrunzite,0.0233762291106
Cornwallite,Minnesotaite,0.0132059958267,Whitmoreite,0.016108093612,Babingtonite,0.0166228585164,Greenalite,0.0167318620353,Hauerite,0.016956460837,Norbergite,0.0171903541043,Xanthoxenite,0.0174342010939,Moraesite,0.0176887284419,Phosphophyllite,0.0176887284419,Algodonite,0.0182331239372
Coronadite,Hauerite,0.0136525927882,Norbergite,0.013840913309,Fluor-uvite,0.0154211584655,Fluoro-edenite,0.0156941205144,Evansite,0.0195740073172,Warwickite,0.0201414873628,Parasymplesite,0.0201414873628,Lanthanite-(La),0.0201414873628,Kastningite,0.0214422506968,Stanfieldite,0.0214422506968
Correianevesite,Gold,0.0059741431103,Chalcopyrite,0.00733827610387,Galena,0.00750480930944,Tetrahedrite,0.00768208686116,Pyrolusite,0.00910219981241,Cinnabar,0.00953245967048,Malachite,0.00990511768681,Hematite,0.0101797319712,Baryte,0.0107707604533,Chlorargyrite,0.0108052872401
Corrensite,Gold,0.0195821144332,Aguilarite,0.0199204768222,Beryllonite,0.0238095238095,Scheelite,0.025124042117,Hauerite,0.0253673144716,Norbergite,0.0257172249937,Lipscombite,0.0257172249937,Tsumcorite,0.0268607654675,Galena,0.0271887547778,Novacekite-I,0.0272772362795
Corundum,Idrialite,0.0116961064294,Hauerite,0.012161032389,Howieite,0.0125036637195,Hydroboracite,0.0130766445241,Faujasite-Na,0.0150996084722,Stistaite,0.0150996084722,Willhendersonite,0.0150996084722,Inyoite,0.0154243683887,Meyerhofferite,0.0157710266922,Kremersite,0.0165407923395
Corvusite,Zaratite,0.00951733734534,Bavenite,0.0106407066345,Minnesotaite,0.0108992230221,Scheelite,0.011088290662,Gold,0.011371587066,Datolite,0.0117298522212,Osmium,0.0122868296796,Benitoite,0.0122868296796,Margarite,0.0127968718031,Pararealgar,0.0128331750585
Cosalite,Hauerite,0.0161206470055,Norbergite,0.0163430112615,Moraesite,0.0168168198499,Ferrostrunzite,0.017902871851,Fluor-uvite,0.0182089260182,Fluoro-edenite,0.0185312329165,Jahnsite-(CaMnFe),0.0213980246255,Ferro-pargasite,0.0213980246255,Schoonerite,0.0219264504827,Evansite,0.0231125081761
Coskrenite-(Ce),Quartz,0.0100822538373,Chalcopyrite,0.0110074141558,Gold,0.0119482862206,Scheelite,0.0145632783882,Malachite,0.0148576765302,Magnetite,0.014913565376,Galena,0.0150096186189,Pyrite,0.0150312222128,Sphalerite,0.0163238113366,Beryl,0.018044398732
Cotunnite,Quartz,0.0169084537099,Gold,0.0217077089156,Pyrite,0.0218470425243,Calcite,0.0226523580572,Chabazite-Ca,0.0232119172721,Magnetite,0.0250108094758,Microcline,0.0253365365745,Hematite,0.0256078942653,Heulandite-Ca,0.0266500895445,Chromite,0.0267558694694
Coulsonite,Galena,0.015399543776,Montroseite,0.0166435666325,Quartz,0.0181023048103,Carnotite,0.0182513358185,Rockbridgeite,0.0182513358185,Babingtonite,0.0184868466662,Chalcopyrite,0.0188222810605,Sphalerite,0.0188413616868,Corvusite,0.0195291641716,Gold,0.0199203598861
